Stkcd,Size,BM,OP,INV
600129,B,b,c,b
600130,A,a,a,a
600131,A,b,b,a
600132,B,a,c,b
600133,A,c,c,b
600135,A,a,a,b
600136,B,b,b,c
600137,A,a,b,b
600138,B,b,c,c
600139,A,b,a,a
600141,B,c,b,a
600143,B,b,b,a
600148,A,a,b,b
600149,A,a,b,c
600151,B,b,a,a
600152,A,b,a,c
600153,B,c,c,c
600155,B,c,a,c
600156,A,a,a,a
600158,B,a,a,b
600159,A,b,a,c
600160,B,a,b,b
600161,B,a,c,a
600162,B,c,c,b
600163,A,b,b,c
600165,A,a,a,a
600166,B,c,a,b
600167,B,c,c,c
600168,B,c,b,c
600169,B,c,a,b
